name,date,y
Create Review,21/10/2008,8
Create Review,22/10/2008,5
Create Review,23/10/2008,7
Create Review,24/10/2008,8
Create Review,25/10/2008,2
Create Review,26/10/2008,3
Create Review,27/10/2008,4
Create Review,28/10/2008,6
Create Review,29/10/2008,6
Create Review,30/10/2008,6
Create Review,31/10/2008,7
Create Review,01/11/2008,17
Create Review,02/11/2008,4
Create Review,03/11/2008,8
Create Review,04/11/2008,8
Create Review,05/11/2008,8
Create Review,06/11/2008,13
Create Review,07/11/2008,4
Create Review,08/11/2008,7
Create Review,09/11/2008,5
Create Review,10/11/2008,4
Create Review,11/11/2008,2
Create Review,12/11/2008,5
Create Review,13/11/2008,1
Create Review,14/11/2008,1
Create Review,15/11/2008,5
Create Review,16/11/2008,8
Create Review,17/11/2008,0
Create Review,18/11/2008,2
Create Review,19/11/2008,2
Create Review,20/11/2008,1
Create Review,21/11/2008,2
Create Review,22/11/2008,3
Create Review,23/11/2008,1
Create Review,24/11/2008,8
Create Review,25/11/2008,9
Create Review,26/11/2008,3
Create Review,27/11/2008,3
Create Review,28/11/2008,2
Create Review,29/11/2008,1
Create Review,30/11/2008,1
Create Review,01/12/2008,1
Create Review,02/12/2008,2
Create Review,03/12/2008,2
Create Review,04/12/2008,6
Create Review,05/12/2008,4
Create Review,07/12/2008,4
Create Review,08/12/2008,0
Create Review,09/12/2008,8
Create Review,10/12/2008,2
Create Review,11/12/2008,1
Create Review,12/12/2008,1
Create Review,13/12/2008,1
Create Review,14/12/2008,1
Create Review,15/12/2008,1
Create Review,16/12/2008,1
Create Review,17/12/2008,0
Create Review,18/12/2008,0
Create Review,19/12/2008,1
Create Review,20/12/2008,3
Create Review,21/12/2008,0
Create Review,22/12/2008,1
Create Review,23/12/2008,1
Create Review,24/12/2008,1
Create Review,26/12/2008,6
Create Review,28/12/2008,1
Create Review,29/12/2008,2
Create Review,31/12/2008,0
Create Review,02/01/2009,1
Create Review,03/01/2009,3
Create Review,04/01/2009,0
Create Review,05/01/2009,0
Create Review,06/01/2009,1
Create Review,07/01/2009,2
Create Review,08/01/2009,0
Create Review,09/01/2009,0
Create Review,10/01/2009,0
Create Review,11/01/2009,0
Create Review,12/01/2009,0
Create Review,13/01/2009,21
Create Review,14/01/2009,4
Create Review,15/01/2009,7
Create Review,16/01/2009,4
Create Review,17/01/2009,1
Create Review,18/01/2009,0
Create Review,19/01/2009,2
Create Review,20/01/2009,11
Create Review,21/01/2009,14
Create Review,22/01/2009,0
Create Review,23/01/2009,3
Create Review,24/01/2009,0
Create Review,26/01/2009,1
Create Review,27/01/2009,11
Create Review,28/01/2009,8
Create Review,29/01/2009,3
Create Review,30/01/2009,16
Create Review,31/01/2009,1
Create Review,01/02/2009,1
